alim_nom_fr,Calories,Proteines,Glucides,Lipides
"Boisson gazeuse, sans jus de fruit, sucrée, avec édulcorants",-,0,"6,8",0
"Boisson plate aux fruits (10 à 50% de jus), à teneur réduite en sucres",-,"0,014","5,16","0,01"
"Boisson plate aux fruits (teneur en jus non spécifiée), sucrée",-,"0,1","11,2","0,07"
"Boisson plate aux fruits (10 à 50% de jus), sucrée",-,"0,13","10,1","0,06"
"Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, avec édulcorants",-,"0,063","0,45","0,13"
"Boisson gazeuse à la pomme (de 50 à 99% de fruits), non sucrée",-,0,"7,5",0
"Tonic ou bitter, sucré",-,"0,068","8,28","0,066"
"Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, sans édulcorant",-,0,"4,17",0
"Boisson énergisante, sucrée",-,"0,2","11,9",0
"Boisson énergisante, non sucrée, avec édulcorants",-,"0,073","0,95","0,1"
Boisson au jus de fruit et au lait,"47,5","0,56","9,63","0,3"
"Boisson lactée aromatisée (arôme inconnu), sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux (aliment moyen)",,"2,87","12,1","1,08"
"Boisson lactée aromatisée au chocolat, sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux","63,8","2,7","10,8","0,99"
"Boisson lactée aromatisée à la fraise, sucrée, au lait partiellement écrémé, enrichie à la vitamine D","52,6","2,13",10,"0,45"
Lait de coco ou Crème de coco,188,"1,77","3,4","18,4"
"Boisson à l'amande, nature, non sucrée, non enrichie, préemballée","36,3","1,06","0,68","3,2"
"Boisson à l'amande, sucrée, enrichie en calcium, préemballée","44,4","0,69","3,96","2,8"
"Boisson plate aux fruits (10 à 50% de jus), non sucrée, avec édulcorants",-,"0,1","1,4","0,1"
"Boisson au soja, nature, non enrichie, préemballée","37,1","3,63","0,7","2,07"
"Boisson au soja, nature, enrichie en calcium, préemballée","44,2","3,75","2,18","2,05"
"Boisson au soja, aromatisée, sucrée, non enrichie, préemballée","60,5","3,25","7,24","1,92"
"Boisson au soja, aromatisée, sucrée, enrichie en calcium, préemballée","42,8","3,3","2,89","1,8"
"Boisson au riz, nature, préemballée","53,7","< 0,5","10,8",1
"Boisson à base d'avoine, nature, préemballée","42,6","< 0,5","7,8","1,1"
"Boisson à la châtaigne, nature, préemballée","68,9","< 0,5","13,5","1,4"
"Boisson à la noix de coco, nature, préemballée","31,4","< 0,5","2,75","2,1"
"Boisson au soja et jus de fruits concentrés, préemballée","56,2","2,3","9,5",1
"Café, non instantané, non sucré, prêt à boire","6,88","< 0,5","1,35","0,018"
"Thé infusé, non sucré","0,063",0,0,"0,007"
"Tisane infusée, non sucrée","0,87",0,"0,2","0,008"
"Café décaféiné, non instantané, non sucré, prêt à boire","4,42","0,1","0,6","0,18"
"Café expresso, non instantané, non sucré, prêt à boire","7,64","< 0,5","1,16","0,2"
"Café décaféiné, instantané, non sucré, prêt à boire","2,1","0,12","0,4","0,002"
"Café, instantané, non sucré, prêt à boire","1,64","0,1","0,3","0,004"
"Boisson cacaotée ou au chocolat, instantanée, sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard)","69,3","3,78","9,5","1,42"
"Boisson cacaotée ou au chocolat, instantanée, sucrée, enrichie en vitamines, prête à boire (reconstituée avec du lait demi-écrémé standard)","71,9","4,08","9,91","1,71"
"Café au lait, café crème ou cappuccino, instantané ou non, non sucré, prêt à boire","21,5","1,36","2,31","0,76"
"Chicorée et café, instantané, non sucré, prête à boire (reconstituée avec du lait demi-écrémé standard)","53,7","3,66","5,9","1,62"
"Thé noir, infusé, non sucré","1,26",0,"0,3","0,007"
"Thé vert, infusé, non sucré","5,1",0,"1,09",0
"Thé oolong, infusé, non sucré",0,0,0,0
"Chicorée, instantanée, non sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard)","93,5",traces,"7,1","7,1"
"Chicorée et café, instantané, non sucré, prêt à boire (reconstituée avec de l'eau)","28,7","0,56","6,06","< 0,3"
"Café, moulu",397,"14,4","40,2","15,4"
"Café, poudre soluble",296,"19,4","42,6","1,1"
"Sirop à diluer, sucré",255,"< 0,5","62,6","< 0,5"
"Boisson concentrée à diluer, sans sucres ajoutés, avec édulcorants, type ""sirop 0%""","21,7","< 0,5","2,76","< 0,5"
"Café, décaféiné, poudre soluble",357,"12,7",76,"0,2"
"Thé, feuille",232,"19,4","6,3",2
"Cacao, non sucré, poudre soluble",387,"22,4","11,6","20,6"
"Poudre cacaotée ou au chocolat pour boisson, sucrée",379,"6,65","75,6","3,29"
"Poudre maltée, cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines et minéraux",-,"9,9","79,4","5,03"
"Chicorée et café, poudre soluble",332,"9,3","66,9","0,35"
"Chicorée, poudre soluble",323,"3,3","57,2","2,5"
"Café au lait ou cappuccino, poudre soluble",416,"11,9","70,1","8,8"
"Café au lait ou cappuccino au chocolat, poudre soluble",402,11,"67,1","9,13"
"Poudre cacaotée ou au chocolat sucrée pour boisson, enrichie en vitamines et minéraux",376,"4,68","79,3","3,04"
"Poudre cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines",386,"4,29",85,"2,04"
"Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés","19,7","< 0,5","1,31",0
Vin doux,-,"0,2","10,5",0
Pétillant de fruits,-,0,"6,95",0
Vin blanc mousseux,-,0,"1,7",0
Champagne,-,"0,3","2,81",0
Vin blanc mousseux aromatisé,-,"0,2","5,1",0
Vin (aliment moyen),,"0,09","3,29",0
Vin rouge,"82,1","0,07","2,63",0
Vin blanc (sec),-,"< 0,5","4,04",0
Vin rosé,-,0,"1,6",0
Bière brune,-,"0,43","4,1",traces
"Bière ""coeur de marché"" (4-5° alcool)",-,"0,39","2,7",0
Bière forte (>8° alcool),-,"0,63","4,6",0
Cidre (aliment moyen),,"0,069","3,22","0,083"
Cidre brut,-,0,"2,62",0
Cidre doux,"37,5","< 0,5","5,09","< 0,6"
Bière faiblement alcoolisée (3° alcool),-,"0,31","4,62","< 0,05"
Bière blanche,"34,6","< 0,5","0,43","< 0,6"
"Bière ""spéciale"" (5-6° alcool)",-,"0,48","4,55","< 0,05"
"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)",-,"0,63","3,2",0
Cidre traditionnel,-,0,"1,87",0
Cidre bouché demi-sec,48,"< 0,5","4,4","< 0,6"
Cidre aromatisé (framboise),"35,4","< 0,5","5,34","< 0,6"
"Bière sans alcool (<1,2° alcool)","25,3","0,31","4,89","< 0,05"
Pastis,274,0,"2,86",0
Eau de vie,229,0,"0,37",0
Gin,265,0,0,0
Liqueur,328,"0,1","39,6","0,3"
Rhum,256,0,0,0
Whisky,252,0,"0,096",0
Apéritif à base de vin ou vermouth,-,"0,054","11,3",0
Vodka,242,0,0,0
"Pastis, prêt à boire (1+ 5)","27,6",0,"6,89",0
Apéritif anisé sans alcool,-,0,1,0
Alcool pur,660,0,0,0
Marsala,211,"0,1","27,9",0
Marsala aux oeufs,153,0,"12,4",0
Crème de cassis,245,0,41,0
"Eau de vie de vin, type armagnac, cognac",228,0,1,0
"Eau de vie, type calvados",-,0,0,0
Saké ou Alcool de riz,133,0,5,0
Cocktail à base de rhum,-,0,"22,5","2,19"
Cocktail à base de whisky,-,0,"15,9","0,02"
Sangria,-,0,"10,3","0,05"
Kir (au vin blanc),-,"0,18","7,36",0
Kir royal (au champagne),-,"0,25","7,97",0
"Cocktail type punch, 16% alcool",-,"0,6","17,8","< 0,6"
Cocktail sans alcool (à base de jus de fruits et de sirop),-,"0,5","12,8",0
Panaché (limonade et bière),"36,2",0,"5,63",0
Panaché préemballé (<1° alc.),"25,4","0,48","4,93","< 0,05"
"Édulcorant à l'aspartame, en pastilles",216,"6,35","69,3",0
"Édulcorant à l'aspartame, en poudre",-,"0,63","94,7","< 0,25"
Vermicelles multicolores,-,"0,5",93,5
Miel,-,"0,56","81,7",0
Sucre blanc,-,0,"99,8",0
Sucre roux,-,"0,12","97,3",0
Sirop d'érable,-,"0,04","67,1","0,06"
Sucre vanillé,-,"0,1",99,"0,33"
Caramel liquide ou nappage caramel,-,0,81,0
Édulcorant à la saccharine,-,"1,25","88,8",0
Mélasse de canne,-,0,"74,7","0,1"
Sucre allégé à l'aspartame,-,"0,81","98,7",0
Fructose,-,0,"99,8",0
Édulcorant à base d'extrait de stévia,238,traces,98,"0,2"
Sirop d'agave,-,"< 0,5","78,1","0,5"
Barre chocolatée biscuitée,523,"6,14","60,5","28,1"
Barre chocolatée non biscuitée enrobée,496,"3,7","66,4","24,1"
"Barre à la noix de coco, enrobée de chocolat",475,"3,88","60,2","23,8"
"Chocolat au lait, tablette",537,"7,5","55,6","30,8"
"Chocolat noir à moins de 70% de cacao, à croquer, tablette",-,"6,63","42,9","33,8"
"Chocolat au lait aux céréales croustillantes, tablette",-,"7,15","60,6","26,6"
"Chocolat blanc, tablette",-,"6,16","57,1","34,2"
Barres ou confiserie chocolatées au lait,551,"8,75","50,9","34,2"
"Chocolat au lait aux fruits secs (noisettes, amandes, raisins, praline), tablette",-,"8,43","48,7","35,9"
"Chocolat au lait sans sucres ajoutés, avec édulcorants, tablette",487,"5,75","54,2","34,6"
"Chocolat blanc aux fruits secs (noisettes, amandes, raisins, praliné) , tablette",-,"7,64",48,"39,1"
"Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette",525,"8,48","34,1","42,3"
Pâte à tartiner chocolat et noisette,-,"5,02","57,9","32,4"
Confiserie au chocolat dragéifiée,505,"5,49",65,"24,3"
Cacahuètes enrobées de chocolat dragéifiées,499,"9,5","55,9",25
Bouchée chocolat fourrage fruits à coques et/ou praliné,-,"9,1","51,5","34,7"
Rocher chocolat fourré praliné,-,"6,53","51,4","35,3"
"Chocolat noir aux fruits (orange, framboise, poire), tablette",-,"6,8","45,3","34,4"
"Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette",567,"8,69","40,7",39
Barre chocolatée aux fruits secs,494,"7,23","57,6",26
Chocolat noir fourrage confiseur à la menthe,-,"2,9","70,5",16
Barre goûter frais au lait et chocolat,-,"6,81",41,"28,5"
"Chocolat noir à 70% cacao minimum, extra, dégustation, tablette",591,"10,4","26,9","46,3"
Chocolat au lait fourré,-,"4,8","45,5",45
"Chocolat noir fourré praliné, tablette",-,"6,38","52,4","34,8"
"Chocolat au lait fourré au praliné, tablette",-,"7,29","52,9","34,9"
"Chocolat noir à 40% de cacao minimum, à pâtisser, tablette",-,"6,39","51,4","33,1"
Bonbon / bouchée au chocolat fourrage gaufrettes / biscuit,-,"6,5","55,1","29,4"
Barre chocolat au lait avec nougat,532,"5,8","60,5",29
Barre goûter frais au lait et chocolat avec génoise,-,"6,68",39,"34,2"
"Chocolat, en tablette (aliment moyen)",557,"7,81","45,3","36,1"
"Bonbons, tout type",-,"1,75","86,5","6,32"
"Chewing-gum, sucré",372,"< 0,5","90,6","0,32"
Pâte de fruits,336,"1,69","76,6","1,8"
Zeste d'orange confit,-,"0,2","82,7","0,2"
Marron glacé,324,"0,94","79,5","< 0,5"
Fruit confit,298,"< 0,5","72,3","< 0,3"
Nougat ou touron,-,"7,88","62,5","25,2"
Dragée amande,-,5,"73,9","17,2"
Guimauve ou marshmallow,-,"3,67","78,7","1,42"
"Chewing-gum, sans sucre",228,"0,69","78,1","0,45"
Bonbon dur et sucette,-,"< 0,19","95,4","0,35"
Bonbon gélifié,-,"6,28","80,2","0,25"
"Bonbon au caramel, mou",-,"2,95","83,7","8,04"
Calissons d'Aix en Provence,440,"7,88","60,3",18
"Guimauve ou marshmallow, enrobé de chocolat",-,"4,65","66,2","10,3"
Bonbon dur au caramel,-,"1,21","72,5",6
"Chewing-gum, teneur en sucre inconnue (aliment moyen)",279,"0,53","82,5","0,41"
"Confiture ou Marmelade, tout type de fruits, teneur en sucre inconnue (aliment moyen)",228,"0,37","56,5","0,29"
"Confiture ou Marmelade, tout type de fruits (aliment moyen)",249,"0,29","60,2","0,31"
Confiture de fraise (extra ou classique),251,"< 0,5","60,5","0,5"
Confiture d'abricot (extra ou classique),247,"< 0,5","59,7","0,3"
Confiture de cerise (extra ou classique),-,"0,38","60,9","0,16"
Marmelade d'orange,246,"< 0,5","59,3","0,4"
Confiture de lait,-,"6,32",58,"5,45"
Confiture de prune (extra ou classique),-,"0,27","59,3","0,1"
Confiture de framboise (extra ou classique),-,"0,47",61,"0,21"
Confiture de myrtilles (extra ou classique),246,"< 0,5","58,9","0,4"
Préparation de fruits divers (en taux de sucres : confitures allégées en sucres < préparations de fruits < confitures),-,"0,49","43,4","0,33"
Gelée de fruits divers (extra ou classique),-,"0,35","61,6","0,17"
Gelée de groseille (extra ou classique),246,"< 0,5","59,6","< 0,3"
"Confiture, tout type de fruits, allégée en sucres (extra ou classique)",162,"0,75",38,"< 0,3"
Pain brioché ou viennois,356,"10,7","55,5","9,38"
Viennoiserie (aliment moyen),380,"8,02","49,1","16,2"
"Croissant, sans précision",375,"7,29","40,4",20
"Croissant ordinaire, artisanal",412,"6,94","47,6","21,1"
"Croissant au beurre, artisanal",420,"7,25","45,7","22,6"
"Croissant aux amandes, artisanal",446,"8,36","35,9","29,1"
"Pain au lait, artisanal",382,"9,38","50,6","15,4"
"Pain au lait, préemballé",359,"8,94","52,2","12,3"
"Pain au lait aux pépites de chocolat, préemballé",369,"8,51",52,"13,5"
Pain aux raisins (viennoiserie),333,"5,6","55,9",9
"Pain au chocolat feuilleté, artisanal",423,"8,19","45,4","22,5"
"Pain au chocolat, préemballé",425,"7,56","46,8","22,3"
"Brioche (ou briochettes) aux pépites de chocolat, préemballée",348,"8,56","51,6","11,2"
Brioche fourrée au chocolat,351,"7,47","53,2","11,6"
"Brioche fourrée aux fruits, préemballée",346,"6,9","50,5","12,1"
"Brioche fourrée crème pâtissière (type ""chinois""), préemballée",300,"6,22","49,2","8,41"
"Brioche, préemballée",354,"8,13","52,7","11,8"
"Brioche, sans précision",401,"11,3",46,"19,1"
"Brioche, de boulangerie traditionnelle",374,"9,81","49,2","14,7"
"Couronne de Noël (Brioche) aux fruits confits, préemballée",355,"7,2","53,3","12,3"
"Brioche pur beurre, préemballée",366,8,"51,6",14
Chouquette,381,"7,76","42,6","18,6"
Chausson aux pommes,338,"4,17","36,6","18,7"
"Tartine craquante, extrudée et grillée, fourrée au chocolat",-,"7,85","64,3",16
"Tartine craquante, extrudée et grillée, fourrée aux fruits",-,"5,38","74,7","6,44"
Macaron sec,-,"6,9","77,7","10,2"
"Biscuit sec, sans précision",-,"6,9",65,"20,6"
Biscuit sec nature,-,"6,77",70,"15,1"
Biscuit sec à teneur garantie en vitamines,-,"9,63","72,6","14,2"
Biscuit sec à teneur garantie en vitamines et minéraux,-,"10,8","61,9","19,8"
"Biscuit sec aux fruits, hyposodé",-,"10,8","61,4","15,8"
"Biscuit sec aux fruits hyposodé, sans sucres ajoutés",-,"22,7","47,6","20,7"
"Biscuit sec croquant au chocolat, allégé en matière grasse",-,7,69,11
"Biscuit sec fourré aux fruits, allégé en matière grasse",-,"4,69","75,3","7,2"
Spéculoos,-,"5,94",69,"19,7"
"Biscuit sec, avec matière grasse végétale",-,"7,23","74,7","11,8"
"Biscuit sec, petits fours en assortiment",-,"6,44","61,4","26,4"
Biscuit sec petit beurre,-,"8,06","74,5","12,1"
Biscuit sec avec tablette de chocolat,-,"6,62","63,3","24,1"
Biscuit sec petit beurre au chocolat,-,"7,19","71,1",16
Biscuit sec au lait,-,"8,25","73,9","11,5"
"Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse",-,"5,63","80,1","8,8"
Biscuit sec pour petit déjeuner,-,"7,81","65,8","16,3"
"Biscuit sec pour petit déjeuner, allégé en sucres",-,"7,68","66,3",16
"Biscuit sec chocolaté, préemballé",-,"6,43","61,7","26,9"
Biscuit sec fourré à la pâte ou purée de fruits,-,"4,43","69,2","9,11"
Biscuit sec avec nappage chocolat,-,"6,93","61,9",25
"Barre biscuitée fourrée aux fruits, allégée en matière grasse",-,"3,32","75,7","7,12"
"Biscuit sec pour petit déjeuner, au chocolat",-,"6,5","69,7","16,6"
"Biscuit aux céréales pour petit déjeuner, enrichis en vitamines et minéraux",445,"7,44","67,7","15,7"
"Biscuit sec au beurre, sablé, galette ou palet",-,"6,4","64,8","22,7"
"Biscuit sec au beurre, sablé, galette ou palet, au chocolat",-,"6,64",61,"25,3"
"Biscuit sec chocolaté, type barquette",-,"7,39","60,9","22,8"
"Biscuit sec chocolaté, type tartelette",-,"6,65","60,2","25,8"
"Biscuit sec chocolaté, type galette",-,"6,84","63,7","23,5"
"Biscuit sec, sablé, galette ou palet, aux fruits",-,"5,93","67,6","19,3"
Biscuit sec fourré fruits à coque (non ou légèrement chocolaté),511,"5,5","59,8","27,2"
Florentin (biscuit sec sucré chocolaté aux amandes),514,"9,31","50,7","28,7"
Biscuit pâtissier meringué,-,"7,42",56,"30,7"
Sablé à la noix de coco,-,"7,1","66,5","20,1"
"Sablé pâtissier, artisanal",-,"8,38","59,4","22,9"
"Sablé aux fruits (pomme, fruits rouges, etc.)",-,"5,85",66,"21,1"
"Sablé au cacao ou chocolat, au praliné ou autre",-,"6,63","61,2","24,6"
"Goûter sec fourré (""sandwiché"") parfum lait ou vanille",-,"5,36","71,2","18,6"
"Goûter sec fourré (""sandwiché"") parfum chocolat",-,"6,7","67,9",18
"Goûter sec fourré (""sandwiché"") parfum fruits",-,"6,64","73,3","17,4"
Gaufrette ou éventail sans fourrage,-,9,"76,8",8
"Gaufrette fourrée chocolat, préemballée",-,"6,38","57,2","29,8"
"Gaufrette fourrée fruits à coque (noisette, amande, praline, etc.), chocolatée ou non, préemballée",-,"7,31","59,6","26,4"
"Gaufrette, fourrée vanille, préemballée",538,"5,75","60,1","30,1"
"Gaufrette fourrée, aux fruits",-,"4,43","82,4","1,58"
Cigarette,-,"5,29",63,"27,5"
Crêpe dentelle,-,"6,27","72,1","15,5"
"Crêpe dentelle au chocolat, préemballée",-,"5,91","67,9","21,8"
Biscuit sec aux oeufs à la cuillère (cuiller) ou Boudoir,-,"7,98","79,9","3,77"
Biscuit sec type langue de chat ou cigarette russe,-,"5,66","77,9","10,7"
Meringue,-,"4,06","94,3","< 0,5"
"Biscuit sec ou tuile, aux amandes",471,"7,8",68,"18,1"
"Biscuit sec type tuile, aux fruits",384,"5,43","74,9","8,28"
"Biscuit sec feuilleté, type palmier ou autres",-,"6,1","60,5","27,6"
"Palmier, artisanal",-,"5,93","53,1","28,2"
"Biscuit sec (génoise) nappage aux fruits, type barquette",341,"4,44","74,4","2,1"
"Biscuit sec nappé aux fruits, tartelette",-,"4,7","71,3","14,2"
Biscuit moelleux fourré à l'orange et enrobé de sucre glace,-,"4,25","79,3","1,92"
Cookie aux pépites de chocolat,-,"6,47",59,"25,9"
"Cône ou cornet classique, pour glace",-,"7,5","80,4",5
Génoise sèche fourrée aux fruits et nappée de chocolat,-,"3,23","69,5","10,6"
Biscuit sec pauvre en glucides,-,"20,8","43,8","18,5"
"Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux",391,8,"82,2","2,2"
"Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux",408,"8,13","70,4","8,9"
"Céréales pour petit déjeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et minéraux",360,"11,5","59,3","4,42"
Céréales pour petit déjeuner (aliment moyen),398,"7,81","75,3","6,08"
Muesli (aliment moyen),418,"7,49","66,6","12,2"
"Pétales de maïs natures, enrichis en vitamines et minéraux",377,"7,4","83,2","0,87"
"Riz soufflé nature, enrichi en vitamines et minéraux",391,7,87,"1,5"
"Céréales pour petit déjeuner riches en fibres, au chocolat, enrichies en vitamines et minéraux",386,"11,5",64,"6,75"
"Pétales de blé chocolatés, enrichis en vitamines et minéraux",388,"9,04","77,7","3,24"
Pétales de blé chocolatés (non enrichis en vitamines et minéraux),388,"8,48","80,1","2,64"
Riz soufflé chocolaté (non enrichi en vitamines et minéraux),388,"6,31","84,2","2,2"
"Céréales chocolatées pour petit déjeuner, non fourrées, (non enrichies en vitamines et minéraux)",386,"7,73","79,6","2,93"
Pétales de maïs natures (non enrichis en vitamines et minéraux),380,"8,14","82,8","1,05"
"Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux",433,"7,81","69,2",13
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes,442,"7,33","67,2","14,8"
"Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux",419,"8,42","64,7","13,3"
"Céréales pour petit déjeuner ""équilibre"" nature ou au miel, enrichies en vitamines et minéraux",382,"11,4","78,6","1,65"
"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux",394,"7,5","73,9","5,9"
"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux",378,"10,5","77,9","1,74"
"Céréales pour petit déjeuner ""équilibre"" aux fruits secs (à coque), enrichis en vitamines et minéraux",394,"9,77","75,5","4,93"
"Céréales pour petit déjeuner ""équilibre"" au chocolat (non enrichies en vitamines et minéraux)",411,"10,3","74,6","7,01"
"Céréales pour petit déjeuner ""équilibre"" aux fruits (non enrichies en vitamines et minéraux)",378,"10,5","78,7","1,4"
"Céréales pour petit déjeuner ""équilibre"" nature (non enrichies en vitamines et minéraux)",379,"11,3",79,"1,25"
"Céréales pour petit déjeuner, enrichies en vitamines et minéraux (aliment moyen)",401,"7,51",75,"6,77"
"Céréales pour petit déjeuner, non enrichies en vitamines et minéraux (aliment moyen)",388,"8,26","79,2","3,24"
Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux),379,"4,4",88,"0,6"
"Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et minéraux)",436,"8,88","59,7","16,7"
Muesli croustillant au chocolat (non enrichi en vitamines et minéraux),442,"8,57","63,2","16,7"
"Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux",361,"9,19","65,4",5
"Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux",460,"5,67","68,4","17,3"
"Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et minéraux",451,"9,13","62,7","16,7"
"Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutés",400,"10,7","61,6",11
"Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux",385,"8,82","75,2","4,01"
"Céréales pour petit déjeuner très riches en fibres, enrichies en vitamines et minéraux",338,14,49,"3,5"
"Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux",374,"5,77","84,7","0,63"
"Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux",386,"10,3","67,9","6,3"
Muesli floconneux ou de type traditionnel,382,"10,6","68,5","4,83"
Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux),393,"5,71","86,2","2,35"
Blé khorasan complet soufflé,378,"7,32","80,5","1,96"
"Riz soufflé chocolaté, enrichi en vitamines et minéraux",390,"6,22","83,2","2,82"
"Boules de maïs soufflées au miel, enrichies en vitamines et minéraux",384,"5,5","85,3","1,8"
"Céréales complètes soufflées, enrichies en vitamines et minéraux",385,"7,95","76,8","3,85"
"Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux",392,"7,39","79,4","4,27"
"Muesli croustillant, au quinoa",-,"10,9","71,2","10,7"
Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux),369,"9,5","61,7","6,9"
Muesli enrichi en vitamines et minéraux (aliment moyen),424,"6,96","67,3","12,8"
Flocon d'avoine précuit,370,"11,7",58,"7,7"
Muesli non enrichi en vitamines et minéraux (aliment moyen),401,"9,2","60,7","11,6"
"Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux",382,"7,06","79,5","3,2"
"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux",379,"6,13","72,8","6,53"
"Barre céréalière ""équilibre"" chocolatée, enrichie en vitamines et minéraux",418,"5,99","72,9","10,9"
Barre céréalière diététique hypocalorique,386,"5,9","65,3","11,2"
Barre céréalière chocolatée,451,"6,55",73,"14,9"
Barre céréalière aux fruits,377,"5,49","73,5","7,07"
Barre céréalière aux amandes ou noisettes,444,"8,69","60,6","18,2"
Barre céréalière chocolatée aux fruits,-,"5,7","70,4","11,8"
"Baba au rhum, préemballé",169,"2,83","23,6","3,86"
Gâteau (aliment moyen),,"5,27","53,5","17,8"
Gâteau Paris-Brest (pâte à choux crème mousseline praliné),-,"5,44","26,1","24,9"
"Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi-couches, avec ou sans cerises)",-,"4,13","34,2",19
"Gâteau mousse de fruits sur génoise, type miroir, bavarois",-,"3,87","31,6","12,2"
Entremets type Opéra,-,"5,19","39,6",24
Fraisier ou framboisier,-,"3,31","26,7","15,5"
Baba au rhum,-,"2,25","36,3","9,9"
Canelé,-,"5,2","59,4","3,7"
Macaron moelleux fourré à la confiture ou à la crème,-,10,"49,7","21,2"
Bûche de Noël pâtissière,-,"4,2","30,7","19,7"
"Brownie au chocolat, préemballé",458,"5,94","50,6","25,4"
Rocher coco ou Congolais (petit gâteau à la noix de coco),-,"4,46","53,7","24,1"
Biscuit de Savoie,-,"6,05","56,3","0,8"
"Quatre-quarts, fabrication artisanale",-,"5,94",46,"25,6"
"Quatre-quarts, préemballé",-,"5,94","48,2","23,9"
"Barre pâtissière, préemballé",-,"5,38","54,7","14,9"
"Gâteau au citron, tout type",-,5,54,"21,3"
Far aux pruneaux,-,"5,13",32,8
Kouign Amann,-,"5,81","48,7","25,1"
Pain d'épices,-,"2,94","71,5","1,1"
Pain d'épices fourré ou nonette,-,4,76,"2,5"
Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop),-,"10,4","49,2","24,5"
Corne de gazelle (pâtisserie orientale aux amandes et sirop),-,"8,55","60,2","22,1"
Chou à la crème (chantilly ou pâtissière),-,"4,5","25,2","22,9"
"Chou à la crème chantilly, Saint-honoré",-,"4,63","22,9","26,4"
Chou à la crème pâtissière,-,"4,31","34,9","7,3"
Éclair,-,"5,78","31,6","11,8"
Tarte aux fruits et crème pâtissière,-,"2,94",30,"7,7"
"Tarte normande aux pommes (garniture farine, oeufs, crème, sucre, calvados)",313,"4,44","38,7",15
Tarte au citron,-,5,"42,7","20,9"
Tarte ou tartelette aux pommes,-,"2,52","32,7","8,79"
Tarte aux fraises,-,"3,19",31,"19,8"
Crumble aux pommes,-,"2,19","33,8","9,5"
Tarte aux abricots,-,"3,18",41,"10,7"
Tarte aux fruits rouges,-,"3,5","38,5","6,87"
Tarte Tatin aux pommes,-,"2,31","37,1","9,3"
"Tarte au chocolat, fabrication artisanale",-,"5,94","40,9","30,7"
Tarte ou tartelette aux fruits,-,"3,72","46,9","10,6"
Flan pâtissier aux oeufs ou à la parisienne,-,"3,69","29,2","11,3"
Charlotte aux fruits,-,"5,16","28,2","6,64"
Gâteau au chocolat,-,"5,74","54,6","21,6"
"Gâteau moelleux au chocolat, préemballé",-,"6,19","48,2",24
Gâteau au yaourt,-,"5,87","51,8","21,4"
Gâteau au fromage blanc,-,"6,17",27,"11,6"
Gâteau moelleux nature type génoise,-,"5,7","57,6","14,4"
Galette des rois feuilletée,-,5,"29,8","23,3"
"Galette des rois feuilletée, fourrée frangipane, et Pithiviers",-,"7,6","33,4",30
"Crêpe, nature, préemballée, rayon frais",-,"6,49",40,"7,21"
"Crêpe, nature, préemballée, rayon température ambiante",-,"8,5","58,1","14,1"
"Galette de sarrasin, nature, préemballée",-,"5,95","30,1","1,51"
"Gâteau basque, crème pâtissière",-,"4,03","57,4","13,3"
